 time,energy conservation violation
   24.498499999988255      ,   3.7747582837255322E-015
   24.498999999988254      ,   3.5527136788005009E-015
   24.499499999988252      ,   3.5527136788005009E-015
   24.499999999988251      ,   3.5527136788005009E-015
   24.500499999988250      ,   3.3306690738754696E-015
   24.500999999988249      ,   3.5527136788005009E-015
   24.501499999988248      ,   3.5527136788005009E-015
   24.501999999988247      ,   3.5527136788005009E-015
   24.502499999988245      ,   3.3306690738754696E-015
   24.502999999988244      ,   3.5527136788005009E-015
   24.503499999988243      ,   3.3306690738754696E-015
   24.503999999988242      ,   3.3306690738754696E-015
   24.504499999988241      ,   3.5527136788005009E-015
   24.504999999988240      ,   3.3306690738754696E-015
   24.505499999988238      ,   3.3306690738754696E-015
   24.505999999988237      ,   3.3306690738754696E-015
   24.506499999988236      ,   3.5527136788005009E-015
   24.506999999988235      ,   3.3306690738754696E-015
   24.507499999988234      ,   3.9968028886505635E-015
   24.507999999988233      ,   3.5527136788005009E-015
   24.508499999988231      ,   3.5527136788005009E-015
   24.508999999988230      ,   3.5527136788005009E-015
   24.509499999988229      ,   3.3306690738754696E-015
   24.509999999988228      ,   3.3306690738754696E-015
   24.510499999988227      ,   3.3306690738754696E-015
   24.510999999988226      ,   3.1086244689504383E-015
   24.511499999988224      ,   3.3306690738754696E-015
   24.511999999988223      ,   3.3306690738754696E-015
   24.512499999988222      ,   3.3306690738754696E-015
   24.512999999988221      ,   3.3306690738754696E-015
   24.513499999988220      ,   3.3306690738754696E-015
   24.513999999988219      ,   3.3306690738754696E-015
   24.514499999988217      ,   3.3306690738754696E-015
   24.514999999988216      ,   3.3306690738754696E-015
   24.515499999988215      ,   3.3306690738754696E-015
   24.515999999988214      ,   3.3306690738754696E-015
   24.516499999988213      ,   3.5527136788005009E-015
   24.516999999988212      ,   3.3306690738754696E-015
   24.517499999988210      ,   3.3306690738754696E-015
   24.517999999988209      ,   3.3306690738754696E-015
   24.518499999988208      ,   3.1086244689504383E-015
   24.518999999988207      ,   3.1086244689504383E-015
   24.519499999988206      ,   3.1086244689504383E-015
   24.519999999988205      ,   2.8865798640254070E-015
   24.520499999988203      ,   3.3306690738754696E-015
   24.520999999988202      ,   3.1086244689504383E-015
   24.521499999988201      ,   2.8865798640254070E-015
   24.521999999988200      ,   3.3306690738754696E-015
   24.522499999988199      ,   3.1086244689504383E-015
   24.522999999988198      ,   3.3306690738754696E-015
   24.523499999988196      ,   3.3306690738754696E-015
   24.523999999988195      ,   3.5527136788005009E-015
   24.524499999988194      ,   3.3306690738754696E-015
   24.524999999988193      ,   3.3306690738754696E-015
   24.525499999988192      ,   3.3306690738754696E-015
   24.525999999988191      ,   3.5527136788005009E-015
   24.526499999988189      ,   3.3306690738754696E-015
   24.526999999988188      ,   3.3306690738754696E-015
   24.527499999988187      ,   3.1086244689504383E-015
   24.527999999988186      ,   3.3306690738754696E-015
   24.528499999988185      ,   3.3306690738754696E-015
   24.528999999988184      ,   3.3306690738754696E-015
   24.529499999988182      ,   3.3306690738754696E-015
   24.529999999988181      ,   3.3306690738754696E-015
   24.530499999988180      ,   3.5527136788005009E-015
   24.530999999988179      ,   3.3306690738754696E-015
   24.531499999988178      ,   3.3306690738754696E-015
   24.531999999988177      ,   3.1086244689504383E-015
   24.532499999988175      ,   3.1086244689504383E-015
   24.532999999988174      ,   3.3306690738754696E-015
   24.533499999988173      ,   3.3306690738754696E-015
   24.533999999988172      ,   3.3306690738754696E-015
   24.534499999988171      ,   3.3306690738754696E-015
   24.534999999988170      ,   3.3306690738754696E-015
   24.535499999988168      ,   3.3306690738754696E-015
   24.535999999988167      ,   3.1086244689504383E-015
   24.536499999988166      ,   3.3306690738754696E-015
   24.536999999988165      ,   3.3306690738754696E-015
   24.537499999988164      ,   3.3306690738754696E-015
   24.537999999988163      ,   3.3306690738754696E-015
   24.538499999988161      ,   3.3306690738754696E-015
   24.538999999988160      ,   3.3306690738754696E-015
   24.539499999988159      ,   3.3306690738754696E-015
   24.539999999988158      ,   3.3306690738754696E-015
   24.540499999988157      ,   3.3306690738754696E-015
   24.540999999988156      ,   3.3306690738754696E-015
   24.541499999988154      ,   3.3306690738754696E-015
   24.541999999988153      ,   3.1086244689504383E-015
   24.542499999988152      ,   3.3306690738754696E-015
   24.542999999988151      ,   3.3306690738754696E-015
   24.543499999988150      ,   3.1086244689504383E-015
   24.543999999988149      ,   2.8865798640254070E-015
   24.544499999988147      ,   2.8865798640254070E-015
   24.544999999988146      ,   3.3306690738754696E-015
   24.545499999988145      ,   3.1086244689504383E-015
   24.545999999988144      ,   3.3306690738754696E-015
   24.546499999988143      ,   3.1086244689504383E-015
   24.546999999988142      ,   3.3306690738754696E-015
   24.547499999988140      ,   3.1086244689504383E-015
   24.547999999988139      ,   3.1086244689504383E-015
   24.548499999988138      ,   3.3306690738754696E-015
   24.548999999988137      ,   3.1086244689504383E-015
   24.549499999988136      ,   3.3306690738754696E-015
   24.549999999988135      ,   3.1086244689504383E-015
   24.550499999988133      ,   3.3306690738754696E-015
   24.550999999988132      ,   3.3306690738754696E-015
   24.551499999988131      ,   3.1086244689504383E-015
   24.551999999988130      ,   2.8865798640254070E-015
   24.552499999988129      ,   3.3306690738754696E-015
   24.552999999988128      ,   3.3306690738754696E-015
   24.553499999988126      ,   3.3306690738754696E-015
   24.553999999988125      ,   3.3306690738754696E-015
   24.554499999988124      ,   3.1086244689504383E-015
